,time,price,text,path,value,group,time1,time2
0,1546209501.189307,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,5.400940895080566,0
1,1546209501.559753,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,5.7713868618011475,0
2,1546209506.8667011,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,11.078335046768188,20
3,1546209546.974265,102,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,51.18589901924133,60
4,1546209547.7613919,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,51.97302579879761,60
5,1546209547.920908,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,52.13254189491272,60
6,1546209547.9598038,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,52.17143774032593,60
7,1546209557.868966,102,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,62.08060002326965,60
8,1546209563.2401528,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.4517867565155,60
9,1546209563.2926002,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.50423407554626,60
10,1546209563.348928,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.56056189537048,60
11,1546209563.398148,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.60978198051453,60
12,1546209563.44368,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.65531396865845,60
13,1546209563.4847932,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.6964271068573,60
14,1546209563.538517,101,('127.0.0.1',/tmp/consumer_fd5bb4377097654d25bb150b155d64a8_109_1546209493.841184_-1_2_log.csv,109,2,67.75015091896057,60
