1546209501.189813,101,('127.0.0.1', 54531),
1546209547.250262,104,('127.0.0.1', 54556),
1546209557.68351,102,('127.0.0.1', 54936),
1546209562.558471,101,('127.0.0.1', 56063),
1546209567.698956,103,('127.0.0.1', 55417),
1546209567.748003,101,('127.0.0.1', 56641),
1546209567.79751,101,('127.0.0.1', 56118),
1546209567.873878,101,('127.0.0.1', 56235),
1546209567.909205,101,('127.0.0.1', 55077),
1546209573.084089,102,('127.0.0.1', 55891),
1546209578.215467,101,('127.0.0.1', 54798),
1546209578.33905,101,('127.0.0.1', 56981),
1546209578.38929,101,('127.0.0.1', 57127),
1546209583.540799,103,('127.0.0.1', 57243),
1546209588.658952,101,('127.0.0.1', 55943),
1546209593.7528992,101,('127.0.0.1', 56055),
1546209598.878301,101,('127.0.0.1', 56279),
1546209604.381166,101,('127.0.0.1', 55745),
1546209609.559647,101,('127.0.0.1', 54364),
1546209614.699501,101,('127.0.0.1', 55885),
1546209619.923588,101,('127.0.0.1', 54635),
1546209623.804847,101,('127.0.0.1', 57276),
1546209629.156965,101,('127.0.0.1', 56702),
1546209635.6254349,102,('127.0.0.1', 55048),
1546209635.687716,101,('127.0.0.1', 54909),
1546209640.8346229,101,('127.0.0.1', 56326),
1546209646.090729,101,('127.0.0.1', 55531),
1546209651.274823,101,('127.0.0.1', 57282),
1546209656.4888792,101,('127.0.0.1', 56807),
1546209836.3381839,40,('127.0.0.1', 60631),
1546209836.341515,40,('127.0.0.1', 61056),
1546209836.343967,40,('127.0.0.1', 60886),
1546209845.152726,40,('127.0.0.1', 60677),
1546209873.914935,40,('127.0.0.1', 60411),
1546209873.9821389,40,('127.0.0.1', 61258),
1546209884.036167,40,('127.0.0.1', 60865),
1546209889.100729,40,('127.0.0.1', 60623),
1546209889.166833,40,('127.0.0.1', 62545),
1546209894.1947231,41,('127.0.0.1', 62521),
1546209894.209965,40,('127.0.0.1', 62258),
1546209902.745875,40,('127.0.0.1', 60810),
1546209913.495921,40,('127.0.0.1', 60830),
1546209920.950002,40,('127.0.0.1', 60964),
1546209925.969175,40,('127.0.0.1', 62079),
1546209930.989813,40,('127.0.0.1', 63273),
1546209941.0074592,40,('127.0.0.1', 60997),
1546209946.0240252,40,('127.0.0.1', 60335),
1546209951.034694,40,('127.0.0.1', 60522),
1546209956.052793,40,('127.0.0.1', 60784),
1546209961.0740962,40,('127.0.0.1', 61791),
1546209966.085577,40,('127.0.0.1', 60506),
1546209971.09828,40,('127.0.0.1', 62408),
1546209976.115595,40,('127.0.0.1', 62915),
1546209981.12607,40,('127.0.0.1', 62749),
