1546209501.189793,101,('127.0.0.1', 54584),
1546209515.902785,101,('127.0.0.1', 54477),
1546209547.062793,101,('127.0.0.1', 55967),
1546209552.304493,101,('127.0.0.1', 55164),
1546209555.722218,101,('127.0.0.1', 55545),
1546209555.785044,101,('127.0.0.1', 54859),
1546209562.8965728,102,('127.0.0.1', 55140),
1546209562.936148,101,('127.0.0.1', 56108),
1546209568.1295402,103,('127.0.0.1', 55020),
1546209573.252052,101,('127.0.0.1', 54352),
1546209573.295891,101,('127.0.0.1', 55490),
1546209573.338869,101,('127.0.0.1', 56499),
1546209573.524331,101,('127.0.0.1', 54988),
1546209573.578051,101,('127.0.0.1', 57156),
1546209578.6877508,101,('127.0.0.1', 54576),
1546209578.7778199,101,('127.0.0.1', 55450),
1546209583.935242,102,('127.0.0.1', 55677),
1546209589.505823,101,('127.0.0.1', 54828),
1546209594.657875,101,('127.0.0.1', 54440),
1546209594.704461,101,('127.0.0.1', 56878),
1546209594.760983,101,('127.0.0.1', 56020),
1546209594.812024,101,('127.0.0.1', 57184),
1546209594.86849,101,('127.0.0.1', 55622),
1546209600.004152,101,('127.0.0.1', 55713),
1546209605.132738,101,('127.0.0.1', 55842),
1546209605.212563,101,('127.0.0.1', 57100),
1546209613.8619561,101,('127.0.0.1', 54760),
1546209613.9100978,101,('127.0.0.1', 57002),
1546209614.0185778,101,('127.0.0.1', 56645),
1546209614.074604,101,('127.0.0.1', 54853),
1546209619.199123,101,('127.0.0.1', 56151),
1546209624.359741,101,('127.0.0.1', 56254),
1546209624.3957691,101,('127.0.0.1', 55852),
1546209629.559784,101,('127.0.0.1', 56212),
1546209629.970536,101,('127.0.0.1', 56624),
1546209635.1383412,102,('127.0.0.1', 55452),
1546209640.31618,101,('127.0.0.1', 57015),
1546209645.4967282,101,('127.0.0.1', 55891),
1546209650.747844,101,('127.0.0.1', 57184),
1546209655.962786,101,('127.0.0.1', 55512),
1546209676.69513,121,('127.0.0.1', 57502),
1546209677.81152,121,('127.0.0.1', 57997),
1546209678.701705,121,('127.0.0.1', 57599),
1546209679.3360991,121,('127.0.0.1', 57480),
1546209679.340845,121,('127.0.0.1', 57742),
1546209679.840734,121,('127.0.0.1', 57682),
1546209680.7254841,121,('127.0.0.1', 57387),
1546209683.4745002,121,('127.0.0.1', 57486),
1546209683.490936,121,('127.0.0.1', 57851),
1546209683.597738,121,('127.0.0.1', 57490),
1546209703.301544,121,('127.0.0.1', 58303),
1546209703.40419,121,('127.0.0.1', 58124),
1546209703.495771,121,('127.0.0.1', 58084),
1546209703.5667682,121,('127.0.0.1', 57514),
1546209703.650343,121,('127.0.0.1', 57349),
1546209703.717026,121,('127.0.0.1', 57451),
1546209703.7672,121,('127.0.0.1', 58711),
1546209703.9038029,121,('127.0.0.1', 57419),
1546209703.9526742,121,('127.0.0.1', 59049),
1546209704.013224,121,('127.0.0.1', 58788),
1546209704.06416,121,('127.0.0.1', 58965),
1546209704.142132,121,('127.0.0.1', 60138),
1546209704.257838,121,('127.0.0.1', 59889),
1546209704.304157,121,('127.0.0.1', 57639),
1546209704.356106,121,('127.0.0.1', 58741),
1546209704.4710941,121,('127.0.0.1', 59292),
1546209704.5210838,121,('127.0.0.1', 59672),
1546209704.7612002,121,('127.0.0.1', 59946),
1546209709.827211,121,('127.0.0.1', 58297),
1546209709.9016519,121,('127.0.0.1', 58212),
1546209713.998341,121,('127.0.0.1', 57409),
1546209714.073869,121,('127.0.0.1', 58920),
1546209716.311976,121,('127.0.0.1', 57748),
1546209716.3788779,121,('127.0.0.1', 57591),
1546209716.4701078,121,('127.0.0.1', 58071),
1546209716.4977002,121,('127.0.0.1', 58273),
1546209716.5821881,121,('127.0.0.1', 58839),
