,time,price,hash,spot,value,delta
0,6.0,101,b6ee024b243b018599addd719365f00b,/tmp/spot101_54609_1546209500.138896_log.csv,132,31
0,6.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54473_1546209498.4223192_log.csv,116,15
0,6.0,101,5cfa05c351c217e5a2aa1169f53b4b9a,/tmp/spot101_54360_1546209496.540086_log.csv,111,10
0,6.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54576_1546209499.5223382_log.csv,119,18
0,6.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_54494_1546209498.7875001_log.csv,124,23
0,6.0,101,45b5ed9bf82d0d562850c3c30acff9a9,/tmp/spot101_54460_1546209498.32001_log.csv,135,34
0,6.0,101,a9973ac141936003c5fc4313517be44a,/tmp/spot101_54390_1546209497.178287_log.csv,106,5
0,6.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54450_1546209498.08829_log.csv,121,20
0,6.0,101,fd5bb4377097654d25bb150b155d64a8,/tmp/spot101_54527_1546209499.005028_log.csv,109,8
0,6.0,101,3cbe6ed4375b5c762e74f6db44a8add7,/tmp/spot101_54552_1546209499.409939_log.csv,101,0
0,7.0,101,e06f9125517d8e1f1d42db2d3820a0d0,/tmp/spot101_54529_1546209499.006541_log.csv,116,15
0,11.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_54496_1546209498.788289_log.csv,117,16
0,11.0,101,2b1cfb2b0f39fdf1cbbf5feafd2e560a,/tmp/spot101_54388_1546209497.0837371_log.csv,105,4
0,11.0,101,463c135c6c11a7f696d485cea90f444a,/tmp/spot101_54424_1546209497.7825642_log.csv,125,24
0,11.0,101,8f2ed82b4b066a70e2edb7c78b2b1c72,/tmp/spot101_54546_1546209499.391733_log.csv,120,19
0,11.0,101,24274a1a56eaa47619d9ade93bd8a292,/tmp/spot101_54440_1546209498.022263_log.csv,139,38
0,11.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54619_1546209500.270126_log.csv,119,18
0,11.0,101,a012bc6eb35446f8d469c569edc1c423,/tmp/spot101_54452_1546209498.157711_log.csv,130,29
0,11.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54384_1546209497.012924_log.csv,121,20
0,11.0,101,62e4061887465f6e793f8b26994df2f1,/tmp/spot101_54554_1546209499.411926_log.csv,126,25
0,11.0,101,f2760fe20f3259cf769f8fc2aeb4fc36,/tmp/spot101_54594_1546209499.999511_log.csv,127,26
0,11.0,101,24274a1a56eaa47619d9ade93bd8a292,/tmp/spot101_54578_1546209499.548554_log.csv,139,38
0,11.0,101,8a16d5f6e568aebdc1b673dbf9437782,/tmp/spot101_54354_1546209496.4801438_log.csv,113,12
